Name	PopSize	CodonSites	ART_Profile	Seed	Cover	FragLenAve	FragLenStd	WindowSize	MinWinWidth	MinWinDepth	MinQual	Breakpoints	NumBreakpoints	Generations	SelectionRate	TreeLen	rate
Recombo1	100	310	../../../art_profiles/longshot_ART_profile.	516743	2	375	75	300	0.875	10	20	101, 121	2	5000	0.01	20	1.29032258064516E-006
Recombo2	100	310	../../../art_profiles/longshot_ART_profile.	9965713	2	375	75	300	0.875	10	20	101, 121	2	5000	0.01	20	1.29032258064516E-006
Recombo3	100	310	../../../art_profiles/longshot_ART_profile.	22318065	2	375	75	300	0.875	10	20		2	5000	0.01	20	1.29032258064516E-006
Recombo4	100	310	../../../art_profiles/longshot_ART_profile.	614781	2	375	75	300	0.875	10	20		2	5000	0.01	20	1.29032258064516E-006
Recombo5	100	310	../../../art_profiles/longshot_ART_profile.	305847	2	375	75	300	0.875	10	20		2	5000	0.01	20	1.29032258064516E-006
Recombo6	100	310	../../../art_profiles/longshot_ART_profile.	5457782	2	375	75	300	0.875	10	20		2	5000	0.01	20	1.29032258064516E-006
Recombo7	100	310	../../../art_profiles/longshot_ART_profile.	3261874	2	375	75	300	0.875	10	20		0	5000	0.01	20	0
Recombo8	100	310	../../../art_profiles/longshot_ART_profile.	22222	2	375	75	300	0.875	10	20		0	5000	0.01	20	0
Recombo9	100	310	../../../art_profiles/longshot_ART_profile.	66410	2	375	75	300	0.875	10	20		0	5000	0.01	20	0
Recombo10	100	310	../../../art_profiles/longshot_ART_profile.	85	2	375	75	300	0.875	10	20		1	5000	0.01	20	6.45161290322581E-007
Recombo11	100	310	../../../art_profiles/longshot_ART_profile.	540978350	2	375	75	300	0.875	10	20		1	5000	0.01	20	6.45161290322581E-007
Recombo12	100	310	../../../art_profiles/longshot_ART_profile.	13248102	2	375	75	300	0.875	10	20		1	5000	0.01	20	6.45161290322581E-007
Recombo13	100	310	../../../art_profiles/longshot_ART_profile.	47181	2	375	75	300	0.875	10	20		5	5000	0.01	20	3.2258064516129E-006
Recombo14	100	310	../../../art_profiles/longshot_ART_profile.	8400574	2	375	75	300	0.875	10	20		5	5000	0.01	20	3.2258064516129E-006
Recombo15	100	310	../../../art_profiles/longshot_ART_profile.	96174	2	375	75	300	0.875	10	20		5	5000	0.01	20	3.2258064516129E-006
Recombo16	100	310	../../../art_profiles/longshot_ART_profile.	314525	2	375	75	300	0.875	10	20		10	5000	0.01	20	6.45161290322581E-006
Recombo17	100	310	../../../art_profiles/longshot_ART_profile.	522440	2	375	75	300	0.875	10	20		10	5000	0.01	20	6.45161290322581E-006
Recombo18	100	310	../../../art_profiles/longshot_ART_profile.	51444	2	375	75	300	0.875	10	20		10	5000	0.01	20	6.45161290322581E-006
Recombo19	100	310	../../../art_profiles/longshot_ART_profile.	593	2	375	75	300	0.875	10	20		100	5000	0.01	20	6.45161290322581E-005
Recombo20	100	310	../../../art_profiles/longshot_ART_profile.	637	2	375	75	300	0.875	10	20		100	5000	0.01	20	6.45161290322581E-005
Recombo21	100	310	../../../art_profiles/longshot_ART_profile.	421	2	375	75	300	0.875	10	20		100	5000	0.01	20	6.45161290322581E-005
Recombo22	100	310	../../../art_profiles/longshot_ART_profile.	995	2	375	75	300	0.875	10	20		200	5000	0.01	20	0.0001290323
Recombo23	100	310	../../../art_profiles/longshot_ART_profile.	77744	2	375	75	300	0.875	10	20		200	5000	0.01	20	0.0001290323
Recombo24	100	310	../../../art_profiles/longshot_ART_profile.	25184936	2	375	75	300	0.875	10	20		200	5000	0.01	20	0.0001290323
